Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	retina homeostasis (GO:0001895)	1/36	2.858497e-01	4.070681e-01	0	0	3.054672e+00	3.825332e+00	ACTB
GO_Biological_Process_2021	intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	1/36	2.858497e-01	4.070681e-01	0	0	3.054672e+00	3.825332e+00	EP300
GO_Biological_Process_2021	cellular response to heat (GO:0034605)	1/36	2.858497e-01	4.070681e-01	0	0	3.054672e+00	3.825332e+00	DAXX
GO_Biological_Process_2021	embryonic limb morphogenesis (GO:0030326)	1/36	2.858497e-01	4.070681e-01	0	0	3.054672e+00	3.825332e+00	CREBBP
GO_Biological_Process_2021	platelet aggregation (GO:0070527)	1/36	2.858497e-01	4.070681e-01	0	0	3.054672e+00	3.825332e+00	ACTB
GO_Biological_Process_2021	cellular response to lectin (GO:1990858)	2/115	2.899683e-01	4.105041e-01	0	0	1.895056e+00	2.346048e+00	CREBBP;EP300
GO_Biological_Process_2021	stimulatory C-type lectin receptor signaling pathway (GO:0002223)	2/115	2.899683e-01	4.105041e-01	0	0	1.895056e+00	2.346048e+00	CREBBP;EP300
GO_Biological_Process_2021	positive regulation of protein metabolic process (GO:0051247)	2/115	2.899683e-01	4.105041e-01	0	0	1.895056e+00	2.346048e+00	BARD1;UHRF1
GO_Biological_Process_2021	regulation of transport (GO:0051049)	1/37	2.925033e-01	4.124754e-01	0	0	2.969670e+00	3.650553e+00	ACTB
GO_Biological_Process_2021	regulation of vascular associated smooth muscle cell proliferation (GO:1904705)	1/37	2.925033e-01	4.124754e-01	0	0	2.969670e+00	3.650553e+00	DNMT1
GO_Biological_Process_2021	response to estradiol (GO:0032355)	1/38	2.990952e-01	4.193141e-01	0	0	2.889262e+00	3.487320e+00	H2AZ1
GO_Biological_Process_2021	spliceosomal snRNP assembly (GO:0000387)	1/38	2.990952e-01	4.193141e-01	0	0	2.889262e+00	3.487320e+00	PRMT5
GO_Biological_Process_2021	DNA replication initiation (GO:0006270)	1/38	2.990952e-01	4.193141e-01	0	0	2.889262e+00	3.487320e+00	MCM2
GO_Biological_Process_2021	regulation of cellular response to stress (GO:0080135)	2/118	3.002776e-01	4.201559e-01	0	0	1.845765e+00	2.220543e+00	CREBBP;EP300
GO_Biological_Process_2021	innate immune response activating cell surface receptor signaling pathway (GO:0002220)	2/119	3.037090e-01	4.235355e-01	0	0	1.829896e+00	2.180660e+00	CREBBP;EP300
GO_Biological_Process_2021	protein monoubiquitination (GO:0006513)	1/39	3.056260e-01	4.235355e-01	0	0	2.813087e+00	3.334614e+00	UHRF1
GO_Biological_Process_2021	negative regulation of cellular metabolic process (GO:0031324)	1/39	3.056260e-01	4.235355e-01	0	0	2.813087e+00	3.334614e+00	SIRT5
GO_Biological_Process_2021	replication fork processing (GO:0031297)	1/39	3.056260e-01	4.235355e-01	0	0	2.813087e+00	3.334614e+00	ATRX
GO_Biological_Process_2021	regulation of cellular component biogenesis (GO:0044087)	1/39	3.056260e-01	4.235355e-01	0	0	2.813087e+00	3.334614e+00	SPTY2D1
GO_Biological_Process_2021	innate immune response (GO:0045087)	4/302	3.094271e-01	4.279816e-01	0	0	1.439339e+00	1.688392e+00	H2BC12;H2BC10;H2BC21;H2BC11
GO_Biological_Process_2021	positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	1/40	3.120963e-01	4.292067e-01	0	0	2.740818e+00	3.191527e+00	UBB
GO_Biological_Process_2021	intraciliary transport involved in cilium assembly (GO:0035735)	1/40	3.120963e-01	4.292067e-01	0	0	2.740818e+00	3.191527e+00	TNPO1
GO_Biological_Process_2021	stem cell differentiation (GO:0048863)	1/40	3.120963e-01	4.292067e-01	0	0	2.740818e+00	3.191527e+00	MLLT3
GO_Biological_Process_2021	regulation of response to DNA damage stimulus (GO:2001020)	1/41	3.185066e-01	4.363601e-01	0	0	2.672162e+00	3.057253e+00	KMT5A
GO_Biological_Process_2021	regulation of mitochondrial membrane potential (GO:0051881)	1/41	3.185066e-01	4.363601e-01	0	0	2.672162e+00	3.057253e+00	UBB
GO_Biological_Process_2021	regulation of phosphorylation (GO:0042325)	2/125	3.242271e-01	4.425418e-01	0	0	1.740103e+00	1.959897e+00	BARD1;EP300
GO_Biological_Process_2021	positive regulation of ATPase activity (GO:0032781)	1/42	3.248575e-01	4.425418e-01	0	0	2.606856e+00	2.931067e+00	UHRF1
GO_Biological_Process_2021	regulation of chemokine production (GO:0032642)	1/42	3.248575e-01	4.425418e-01	0	0	2.606856e+00	2.931067e+00	AIRE
GO_Biological_Process_2021	negative regulation of cell growth (GO:0030308)	2/126	3.276329e-01	4.454821e-01	0	0	1.725982e+00	1.925956e+00	ING1;SMARCA4
GO_Biological_Process_2021	regulation of purine nucleotide metabolic process (GO:1900542)	1/43	3.311495e-01	4.468971e-01	0	0	2.544659e+00	2.812319e+00	EP300
