Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_REPRODUCTION	54/158	1.010314e-65	1.690333e-64	6.173136e+01	9.238578e+03	H4C5;H3-4;H2AZ2;H2BC12;H2BC6;DIDO1;H3C14;H2BC3;H2BC5;H2BC4;H2BC11;H4C11;H3C6;H2AC6;H2BC8;H3C13;H3C3;H2BC15;H3C1;H2BC14;H3-3B;H4C2;H3C2;H4C13;H2BC26;H2BC7;H2AC20;H4C16;H4C15;H4C6;H2AC18;H4C12;H4C14;H3C11;H2BC10;H3C7;H4C3;H2BC21;H3C15;H2AC19;H3C10;H2AX;H2AC4;H2BC9;H3C4;H3C12;H3C8;H4C1;H4C9;H4C4;H2BC17;H2AC7;H2BC13;H2AC8
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES	1/37	3.650616e-01	4.650126e-01	3.332716e+00	3.358342e+00	BARD1
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA	1/27	2.820399e-01	3.876378e-01	4.593745e+00	5.814333e+00	BARD1
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	2/127	4.598882e-01	5.458428e-01	1.614509e+00	1.254105e+00	CENPN;CENPA
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY	6/120	3.484511e-03	1.202986e-02	4.718821e+00	2.670582e+01	EP300;UBB;UBA52;UBC;H2BC15;CREBBP
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	31/102	1.676192e-35	1.657144e-34	4.346692e+01	3.480568e+03	RPS4Y1;RPL26;RPL7;RPS8;RPS23;RPS2;RPL32;RPS6;RPL21;RPL10L;RPS15;RPL24;RPS18;RPL31;RPL17;RPL34;RPS24;RPL36;RPS17;FAU;RPL15;RPL3L;RPL27;RPL35A;RPL36AL;RPL26L1;RPL8;RPL7A;RPL35;UBA52;RPL29
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS	3/23	2.630726e-03	9.457567e-03	1.403062e+01	8.334882e+01	UBB;UBA52;UBC
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RHOF_GTPASE_CYCLE	1/42	4.029201e-01	4.972205e-01	2.930099e+00	2.663510e+00	ACTB
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	3/140	2.434446e-01	3.483499e-01	2.073733e+00	2.929907e+00	ACTB;CENPN;CENPA
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	1/32	3.248180e-01	4.288189e-01	3.863149e+00	4.344073e+00	ACTB
c2.cp.v2024.1.Hs.symbols.gmt	REACTOME_RHO_GTPASES_ACTIVATE_PKNS	52/93	1.316928e-77	3.369786e-76	1.478368e+02	2.617063e+04	H4C5;H2AZ2;H2BC12;H2BC6;H3C14;H2BC3;H2BC5;H2BC4;H2BC11;H4C11;H3C6;H2AC6;H2BC8;H3C13;H3C3;H2BC15;H3C1;H2BC14;H3-3B;H4C2;H3C2;H4C13;H2BC26;H2BC7;H2AC20;H4C16;H4C15;H4C6;H2AC18;H4C12;H4C14;H3C11;H2BC10;H3C7;H4C3;H2BC21;H3C15;H2AC19;H3C10;H2AX;H2AC4;H2BC9;H3C4;H3C12;H3C8;H4C1;H4C9;H4C4;H2BC17;H2AC7;H2BC13;H2AC8
