Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
c2.cp.v2024.1.Hs.symbols.gmt,WP_ADHD_AND_AUTISM_ASD_PATHWAYS,1/367,0.9895488646065872,0.9964207317219107,0.32379582857072625,0.003401841725525521,DNMT1
c2.cp.v2024.1.Hs.symbols.gmt,WP_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,1/38,0.3728195006528686,0.4721294986433707,3.243603603603604,3.200336814837396,DAXX
c2.cp.v2024.1.Hs.symbols.gmt,WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER,2/110,0.388614144950053,0.48787057158231756,1.8698400322998316,1.7673136048780902,SMARCA4;BARD1
c2.cp.v2024.1.Hs.symbols.gmt,WP_ANDROGEN_RECEPTOR_SIGNALING,4/91,0.02507109144544553,0.05943283258184636,4.231140235910878,15.596151443678304,CREBBP;KAT2B;EP300;DAXX
c2.cp.v2024.1.Hs.symbols.gmt,WP_ANGIOGENESIS,1/24,0.2550909266560125,0.358528442957562,5.18133026643665,7.0783977751403455,CREBBP
c2.cp.v2024.1.Hs.symbols.gmt,WP_APOPTOSIS_MODULATION_AND_SIGNALING,1/92,0.6775224014196852,0.7277092459692915,1.3240289469797666,0.5154612338459684,DAXX
c2.cp.v2024.1.Hs.symbols.gmt,WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY,1/74,0.5973523829399172,0.6611915689029618,1.6504872219157933,0.8504103780017315,ACTB
c2.cp.v2024.1.Hs.symbols.gmt,WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586,1/46,0.43158421671989183,0.5229502347441587,2.671715671715672,2.245022949652552,EP300
c2.cp.v2024.1.Hs.symbols.gmt,WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873,1/45,0.4245490550887567,0.518033208874079,2.7319566757769005,2.340543014568355,EP300
c2.cp.v2024.1.Hs.symbols.gmt,WP_ATM_SIGNALING,2/40,0.085231198194161,0.15922455869331675,5.2970141640836506,13.043302716038495,TP53BP1;H2AX
c2.cp.v2024.1.Hs.symbols.gmt,WP_ATM_SIGNALING_IN_DEVELOPMENT_AND_DISEASE,1/47,0.4385338788959419,0.5276963687959467,2.6140656785818077,2.1548219390937704,TP53BP1
c2.cp.v2024.1.Hs.symbols.gmt,WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING,1/144,0.8304825347160542,0.8611678250333339,0.8409768653671092,0.15621009035278857,RPS6
c2.cp.v2024.1.Hs.symbols.gmt,WP_CALCIUM_MEDIATED_TCELL_APOPTOSIS_INVOLVED_IN_INCLUSION_BODY_MYOSITIS,1/20,0.2175888056551343,0.31655896474910844,6.246015246015246,9.526098971613386,EP300
c2.cp.v2024.1.Hs.symbols.gmt,WP_CAMKK2_PATHWAY,1/33,0.3330645821638586,0.4350843640879234,3.744005544005544,4.116230334631428,EP300
c2.cp.v2024.1.Hs.symbols.gmt,WP_CANCER_PATHWAYS,2/507,0.9866975659992872,0.994700906627323,0.38947708140963,0.005215761762278176,CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt,WP_CATABOLISM_OF_SKELETAL_MUSCLE_IN_CACHEXIA,1/40,0.38805371645973374,0.48787057158231756,3.07891435739537,2.914535751950034,EP300
c2.cp.v2024.1.Hs.symbols.gmt,WP_CCL18_SIGNALING,1/52,0.4720354188793132,0.5534647094676584,2.359398233184641,1.7712032175593784,EP300
c2.cp.v2024.1.Hs.symbols.gmt,WP_CELL_CYCLE,2/120,0.43109241791571395,0.5229502347441587,1.710772878503958,1.4395003879116852,EP300;MCM2
c2.cp.v2024.1.Hs.symbols.gmt,WP_CILIARY_LANDSCAPE,2/215,0.7407467619079515,0.7840020472748392,0.9428175212435527,0.28293620423535665,CREBBP;MCM2
c2.cp.v2024.1.Hs.symbols.gmt,WP_CIRCADIAN_RHYTHM_GENES,5/201,0.09941751266008843,0.17907502280388599,2.298179682912507,5.305180024302459,EP300;KMT2A;UBA52;UBC;PRMT5
c2.cp.v2024.1.Hs.symbols.gmt,WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,3/86,0.08761430812097126,0.16287275227616455,3.428589629252134,8.34796760549058,CREBBP;EP300;PBRM1
c2.cp.v2024.1.Hs.symbols.gmt,WP_COMMON_PATHWAYS_UNDERLYING_DRUG_ADDICTION,1/41,0.3955323135473051,0.4921069969677912,3.0026693360026693,2.7850442462360645,ACTB
c2.cp.v2024.1.Hs.symbols.gmt,WP_COVID19_STRUCTURAL_COVERAGE_MAP,4/26,0.0002578875083913087,0.0013515791102436058,16.53394495412844,136.61977357230708,UBB;UBA52;UBC;MACROH2A1
